,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
140,1.4,1.71875,42.423283,416.1724,26.292894,1.143764
141,1.41,1.591669,39.194534,384.49838,25.272547,-0.142509
142,1.42,1.523437,37.460964,367.49207,24.707325,-0.855041
143,1.43,1.52832,37.585026,368.7091,24.748203,-0.803509
144,1.44,1.723463,42.543026,417.34708,26.329975,1.190509
145,1.45,1.738107,42.915085,420.99698,26.444859,1.335334
146,1.46,1.620957,39.938656,391.7982,25.511322,0.158497
147,1.47,1.547739,38.078403,373.54916,24.910109,-0.599407
148,1.48,1.708819,42.170963,413.69717,26.214588,1.045049
149,1.49,1.620957,39.938656,391.7982,25.511322,0.158497
150,1.5,1.50381,36.9623,362.60016,24.542328,-1.063041
151,1.51,1.420682,34.85027,341.88113,23.830837,-1.959962
152,1.52,1.752748,43.287067,424.64615,26.559221,1.479503
153,1.53,1.689453,41.678932,408.87033,26.061209,0.851696
154,1.54,1.533095,37.706345,369.89923,24.788113,-0.753198
155,1.55,1.533203,37.709087,369.92615,24.789015,-0.752061
156,1.56,1.694174,41.798878,410.047,26.098682,0.898936
157,1.57,1.67953,41.42682,406.3971,25.982267,0.752181
158,1.58,1.445233,35.474033,348.00027,24.04316,-1.692303
159,1.59,1.67953,41.42682,406.3971,25.982267,0.752181
160,1.6,1.767392,43.65913,428.29605,26.673119,1.623084
161,1.61,1.489166,36.59024,358.95026,24.418495,-1.219148
162,1.62,1.547739,38.078403,373.54916,24.910109,-0.599407
163,1.63,1.577027,38.822525,380.84897,25.152327,-0.294063
164,1.64,1.533095,37.706345,369.89923,24.788113,-0.753198
165,1.65,1.782036,44.03119,431.94595,26.78653,1.766054
166,1.66,1.577027,38.822525,380.84897,25.152327,-0.294063
167,1.67,1.445233,35.474033,348.00027,24.04316,-1.692303
168,1.68,1.489166,36.59024,358.95026,24.418495,-1.219148
169,1.69,1.679687,41.43081,406.43622,25.983519,0.753758
170,1.7,1.782036,44.03119,431.94595,26.78653,1.766054
171,1.71,1.523437,37.460964,367.49207,24.707325,-0.855041
172,1.72,1.474522,36.21818,355.30035,24.294031,-1.37605
173,1.73,1.533095,37.706345,369.89923,24.788113,-0.753198
174,1.74,1.723463,42.543026,417.34708,26.329975,1.190509
175,1.75,1.694174,41.798878,410.047,26.098682,0.898936
176,1.76,1.547739,38.078403,373.54916,24.910109,-0.599407
177,1.77,1.459878,35.84612,351.65045,24.168924,-1.533761
178,1.78,1.591669,39.194534,384.49838,25.272547,-0.142509
179,1.79,1.620957,39.938656,391.7982,25.511322,0.158497
180,1.8,1.704102,42.05112,412.52148,26.17731,0.998058
181,1.81,1.591669,39.194534,384.49838,25.272547,-0.142509
182,1.82,1.489258,36.59258,358.97318,24.419275,-1.218164
183,1.83,1.577027,38.822525,380.84897,25.152327,-0.294063
184,1.84,1.68457,41.55487,407.6533,26.022392,0.802764
185,1.85,1.591669,39.194534,384.49838,25.272547,-0.142509
186,1.86,1.518451,37.334286,366.24933,24.665514,-0.907749
187,1.87,1.591669,39.194534,384.49838,25.272547,-0.142509
188,1.88,1.67953,41.42682,406.3971,25.982267,0.752181
189,1.89,1.635601,40.310715,395.44812,25.629875,0.307948
190,1.9,1.577027,38.822525,380.84897,25.152327,-0.294063
191,1.91,1.459878,35.84612,351.65045,24.168924,-1.533761
192,1.92,1.620957,39.938656,391.7982,25.511322,0.158497
193,1.93,1.782036,44.03119,431.94595,26.78653,1.766054
194,1.94,1.591669,39.194534,384.49838,25.272547,-0.142509
195,1.95,1.503906,36.96474,362.62408,24.543139,-1.06202
