,time,voltage,delp_mmh2o,delp_pa,velocity,di_sig
220,2.2,1.674805,41.30677,405.21942,25.944593,1.068158
221,2.21,1.625977,40.066196,393.0494,25.552025,0.307037
222,2.22,1.547852,38.081276,373.5773,24.911049,-0.935701
223,2.23,1.606445,39.569946,388.18118,25.393291,-0.000718
224,2.24,1.611328,39.69401,389.39825,25.433067,0.076401
225,2.25,1.635742,40.314297,395.48325,25.631016,0.460184
226,2.26,1.567383,38.5775,378.44528,25.072826,-0.622042
227,2.27,1.621094,39.942135,391.83234,25.512434,0.230278
228,2.28,1.645508,40.56242,397.91736,25.70977,0.612877
229,2.29,1.660156,40.93458,401.56827,25.827446,0.841027
230,2.3,1.547852,38.081276,373.5773,24.911049,-0.935701
231,2.31,1.640625,40.43836,396.70032,25.670424,0.536589
232,2.32,1.679687,41.43081,406.43622,25.983519,1.143625
233,2.33,1.665039,41.058647,402.7853,25.866554,0.916852
234,2.34,1.508789,37.088802,363.84116,24.58429,-1.569227
235,2.35,1.5625,38.453438,377.2282,25.032478,-0.700271
236,2.36,1.679687,41.43081,406.43622,25.983519,1.143625
237,2.37,1.694336,41.802994,410.08737,26.099966,1.369398
238,2.38,1.503906,36.96474,362.62408,24.543139,-1.649013
239,2.39,1.557617,38.329376,376.01117,24.992064,-0.778626
240,2.4,1.674805,41.30677,405.21942,25.944593,1.068158
241,2.41,1.679687,41.43081,406.43622,25.983519,1.143625
242,2.42,1.59668,39.32185,385.74734,25.31356,-0.155304
243,2.43,1.538086,37.833153,371.14322,24.82976,-1.093305
244,2.44,1.625977,40.066196,393.0494,25.552025,0.307037
245,2.45,1.411715,34.622444,339.64618,23.752817,-3.181304
246,2.46,1.645508,40.56242,397.91736,25.70977,0.612877
247,2.47,1.572266,38.70156,379.66232,25.11311,-0.543939
248,2.48,1.611328,39.69401,389.39825,25.433067,0.076401
249,2.49,1.660156,40.93458,401.56827,25.827446,0.841027
250,2.5,1.616211,39.818073,390.6153,25.472782,0.153399
251,2.51,1.542969,37.957214,372.36026,24.870438,-1.014439
252,2.52,1.572266,38.70156,379.66232,25.11311,-0.543939
253,2.53,1.621094,39.942135,391.83234,25.512434,0.230278
254,2.54,1.669922,41.18271,404.00238,25.905603,0.992562
255,2.55,1.674805,41.30677,405.21942,25.944593,1.068158
256,2.56,1.523437,37.460964,367.49207,24.707325,-1.330683
257,2.57,1.547852,38.081276,373.5773,24.911049,-0.935701
258,2.58,1.411543,34.618073,339.6033,23.751318,-3.18421
259,2.59,1.827859,45.195415,443.367,27.13835,3.382635
260,2.6,1.503906,36.96474,362.62408,24.543139,-1.649013
261,2.61,1.557617,38.329376,376.01117,24.992064,-0.778626
262,2.62,1.640625,40.43836,396.70032,25.670424,0.536589
263,2.63,1.728516,42.671406,418.6065,26.369673,1.892308
264,2.64,1.542969,37.957214,372.36026,24.870438,-1.014439
265,2.65,1.591797,39.19779,384.53027,25.273596,-0.232788
266,2.66,1.645508,40.56242,397.91736,25.70977,0.612877
267,2.67,1.601562,39.445885,386.96414,25.353453,-0.077958
268,2.68,1.601562,39.445885,386.96414,25.353453,-0.077958
269,2.69,1.669922,41.18271,404.00238,25.905603,0.992562
270,2.7,1.582031,38.94966,382.0962,25.193476,-0.388123
271,2.71,1.52832,37.585026,368.7091,24.748203,-1.251427
272,2.72,1.645508,40.56242,397.91736,25.70977,0.612877
273,2.73,1.699219,41.927055,411.30444,26.138668,1.444432
274,2.74,1.621094,39.942135,391.83234,25.512434,0.230278
275,2.75,1.538086,37.833153,371.14322,24.82976,-1.093305
276,2.76,1.606445,39.569946,388.18118,25.393291,-0.000718
277,2.77,1.645508,40.56242,397.91736,25.70977,0.612877
278,2.78,1.704102,42.05112,412.52148,26.17731,1.519355
279,2.79,1.606445,39.569946,388.18118,25.393291,-0.000718
280,2.8,1.513672,37.212864,365.0582,24.625372,-1.489575
281,2.81,1.513672,37.212864,365.0582,24.625372,-1.489575
282,2.82,1.640625,40.43836,396.70032,25.670424,0.536589
283,2.83,1.635742,40.314297,395.48325,25.631016,0.460184
284,2.84,1.577148,38.8256,380.87912,25.153322,-0.465977
285,2.85,1.586914,39.073723,383.31323,25.233568,-0.310394
286,2.86,1.586914,39.073723,383.31323,25.233568,-0.310394
287,2.87,1.582031,38.94966,382.0962,25.193476,-0.388123
288,2.88,1.601562,39.445885,386.96414,25.353453,-0.077958
289,2.89,1.591797,39.19779,384.53027,25.273596,-0.232788
290,2.9,1.523437,37.460964,367.49207,24.707325,-1.330683
291,2.91,1.601562,39.445885,386.96414,25.353453,-0.077958
292,2.92,1.679687,41.43081,406.43622,25.983519,1.143625
293,2.93,1.621094,39.942135,391.83234,25.512434,0.230278
294,2.94,1.621094,39.942135,391.83234,25.512434,0.230278
295,2.95,1.538086,37.833153,371.14322,24.82976,-1.093305
296,2.96,1.513672,37.212864,365.0582,24.625372,-1.489575
297,2.97,1.689453,41.678932,408.87033,26.061209,1.294252
298,2.98,1.665039,41.058647,402.7853,25.866554,0.916852
299,2.99,1.518555,37.336926,366.27524,24.666388,-1.410055
300,3.0,1.552734,38.205315,374.79413,24.951586,-0.857108
301,3.01,1.665039,41.058647,402.7853,25.866554,0.916852
302,3.02,1.645508,40.56242,397.91736,25.70977,0.612877
303,3.03,1.591797,39.19779,384.53027,25.273596,-0.232788
304,3.04,1.586914,39.073723,383.31323,25.233568,-0.310394
305,3.05,1.630859,40.190235,394.2662,25.591547,0.383662
306,3.06,1.582031,38.94966,382.0962,25.193476,-0.388123
307,3.07,1.591797,39.19779,384.53027,25.273596,-0.232788
308,3.08,1.591797,39.19779,384.53027,25.273596,-0.232788
309,3.09,1.665039,41.058647,402.7853,25.866554,0.916852
310,3.1,1.59668,39.32185,385.74734,25.31356,-0.155304
311,3.11,1.572266,38.70156,379.66232,25.11311,-0.543939
312,3.12,1.621094,39.942135,391.83234,25.512434,0.230278
313,3.13,1.586914,39.073723,383.31323,25.233568,-0.310394
314,3.14,1.834187,45.35619,444.9442,27.186577,3.47614
315,3.15,1.621094,39.942135,391.83234,25.512434,0.230278
316,3.16,1.694336,41.802994,410.08737,26.099966,1.369398
317,3.17,1.469727,36.096355,354.10522,24.253138,-2.211272
318,3.18,1.503906,36.96474,362.62408,24.543139,-1.649013
319,3.19,1.655273,40.81052,400.35123,25.788277,0.765087
320,3.2,1.762695,43.53979,427.12537,26.636639,2.409909
321,3.21,1.542969,37.957214,372.36026,24.870438,-1.014439
322,3.22,1.547852,38.081276,373.5773,24.911049,-0.935701
323,3.23,1.572266,38.70156,379.66232,25.11311,-0.543939
324,3.24,1.689453,41.678932,408.87033,26.061209,1.294252
325,3.25,1.655273,40.81052,400.35123,25.788277,0.765087
326,3.26,1.552734,38.205315,374.79413,24.951586,-0.857108
327,3.27,1.52832,37.585026,368.7091,24.748203,-1.251427
328,3.28,1.611328,39.69401,389.39825,25.433067,0.076401
329,3.29,1.630859,40.190235,394.2662,25.591547,0.383662
330,3.3,1.635742,40.314297,395.48325,25.631016,0.460184
331,3.31,1.59668,39.32185,385.74734,25.31356,-0.155304
332,3.32,1.52832,37.585026,368.7091,24.748203,-1.251427
333,3.33,1.577148,38.8256,380.87912,25.153322,-0.465977
334,3.34,1.611328,39.69401,389.39825,25.433067,0.076401
335,3.35,1.640625,40.43836,396.70032,25.670424,0.536589
336,3.36,1.586914,39.073723,383.31323,25.233568,-0.310394
337,3.37,1.557617,38.329376,376.01117,24.992064,-0.778626
338,3.38,1.665039,41.058647,402.7853,25.866554,0.916852
339,3.39,1.542969,37.957214,372.36026,24.870438,-1.014439
340,3.4,1.601562,39.445885,386.96414,25.353453,-0.077958
341,3.41,1.586914,39.073723,383.31323,25.233568,-0.310394
342,3.42,1.572266,38.70156,379.66232,25.11311,-0.543939
343,3.43,1.625977,40.066196,393.0494,25.552025,0.307037
344,3.44,1.665039,41.058647,402.7853,25.866554,0.916852
345,3.45,1.601562,39.445885,386.96414,25.353453,-0.077958
346,3.46,1.542969,37.957214,372.36026,24.870438,-1.014439
347,3.47,1.582031,38.94966,382.0962,25.193476,-0.388123
348,3.48,1.606445,39.569946,388.18118,25.393291,-0.000718
349,3.49,1.5625,38.453438,377.2282,25.032478,-0.700271
350,3.5,1.601562,39.445885,386.96414,25.353453,-0.077958
351,3.51,1.645508,40.56242,397.91736,25.70977,0.612877
352,3.52,1.606445,39.569946,388.18118,25.393291,-0.000718
353,3.53,1.582031,38.94966,382.0962,25.193476,-0.388123
354,3.54,1.694336,41.802994,410.08737,26.099966,1.369398
355,3.55,1.616211,39.818073,390.6153,25.472782,0.153399
356,3.56,1.552734,38.205315,374.79413,24.951586,-0.857108
357,3.57,1.862914,46.086056,452.10422,27.404446,3.898548
358,3.58,1.616211,39.818073,390.6153,25.472782,0.153399
359,3.59,1.572266,38.70156,379.66232,25.11311,-0.543939
360,3.6,1.679687,41.43081,406.43622,25.983519,1.143625
361,3.61,1.625977,40.066196,393.0494,25.552025,0.307037
362,3.62,1.557617,38.329376,376.01117,24.992064,-0.778626
363,3.63,1.499023,36.84068,361.40704,24.501917,-1.728933
364,3.64,1.674805,41.30677,405.21942,25.944593,1.068158
365,3.65,1.708984,42.175156,413.73828,26.21589,1.594152
366,3.66,1.625977,40.066196,393.0494,25.552025,0.307037
367,3.67,1.494141,36.71664,360.19025,24.460634,-1.808971
368,3.68,1.542969,37.957214,372.36026,24.870438,-1.014439
369,3.69,1.650391,40.686485,399.1344,25.749058,0.689048
370,3.7,1.655273,40.81052,400.35123,25.788277,0.765087
371,3.71,1.606445,39.569946,388.18118,25.393291,-0.000718
372,3.72,1.523437,37.460964,367.49207,24.707325,-1.330683
373,3.73,1.59668,39.32185,385.74734,25.31356,-0.155304
374,3.74,1.59668,39.32185,385.74734,25.31356,-0.155304
375,3.75,1.611328,39.69401,389.39825,25.433067,0.076401
376,3.76,1.669922,41.18271,404.00238,25.905603,0.992562
377,3.77,1.591797,39.19779,384.53027,25.273596,-0.232788
378,3.78,1.552734,38.205315,374.79413,24.951586,-0.857108
379,3.79,1.611328,39.69401,389.39825,25.433067,0.076401
