      Time (s)  Voltage (V)
695      2.780     2.363281
696      2.784     2.377930
697      2.788     2.392578
698      2.792     2.397461
699      2.796     2.377930
700      2.800     2.363281
701      2.804     2.382812
702      2.808     2.358398
703      2.812     2.348633
704      2.816     2.338867
705      2.820     2.319336
706      2.824     2.348633
707      2.828     2.382812
708      2.832     2.407227
709      2.836     2.373047
710      2.840     2.373047
711      2.844     2.377930
712      2.848     2.387695
713      2.852     2.387695
714      2.856     2.402344
715      2.860     2.382812
716      2.864     2.397461
717      2.868     2.387695
718      2.872     2.353516
719      2.876     2.329102
720      2.880     2.338867
721      2.884     2.373047
722      2.888     2.387695
723      2.892     2.397461
724      2.896     2.387695
725      2.900     2.416992
726      2.904     2.426758
727      2.908     2.392578
728      2.912     2.392578
729      2.916     2.402344
730      2.920     2.402344
731      2.924     2.426758
732      2.928     2.416992
733      2.932     2.431641
734      2.936     2.436523
735      2.940     2.426758
736      2.944     2.397461
737      2.948     2.402344
738      2.952     2.387695
739      2.956     2.368164
740      2.960     2.382812
741      2.964     2.407227
742      2.968     2.412109
743      2.972     2.436523
744      2.976     2.456055
745      2.980     2.441406
746      2.984     2.426758
747      2.988     2.402344
748      2.992     2.416992
749      2.996     2.431641
750      3.000     2.421875
751      3.004     2.402344
752      3.008     2.412109
753      3.012     2.397461
754      3.016     2.436523
755      3.020     2.421875
756      3.024     2.426758
757      3.028     2.441406
758      3.032     2.416992
759      3.036     2.377930
760      3.040     2.299805
761      3.044     2.304687
762      3.048     2.294922
763      3.052     2.343750
764      3.056     2.373047
765      3.060     2.402344
766      3.064     2.397461
767      3.068     2.407227
768      3.072     2.402344
769      3.076     2.407227
770      3.080     2.377930
771      3.084     2.387695
772      3.088     2.387695
773      3.092     2.402344
774      3.096     2.402344
775      3.100     2.358398
776      3.104     2.329102
777      3.108     2.290039
778      3.112     2.309570
779      3.116     2.343750
780      3.120     2.338867
781      3.124     2.382812
782      3.128     2.416992
783      3.132     2.451172
784      3.136     2.421875
785      3.140     2.397461
786      3.144     2.373047
787      3.148     2.373047
788      3.152     2.382812
789      3.156     2.412109
790      3.160     2.426758
791      3.164     2.392578
792      3.168     2.382812
793      3.172     2.387695
794      3.176     2.373047
795      3.180     2.285156
796      3.184     2.270508
797      3.188     2.280273
798      3.192     2.309570
799      3.196     2.324219
800      3.200     2.353516
801      3.204     2.402344
802      3.208     2.397461
803      3.212     2.402344
804      3.216     2.358398
805      3.220     2.319336
806      3.224     2.280273
807      3.228     2.309570
808      3.232     2.348633
809      3.236     2.353516
810      3.240     2.363281
811      3.244     2.392578
812      3.248     2.397461
813      3.252     2.368164
814      3.256     2.358398
815      3.260     2.353516
816      3.264     2.358398
817      3.268     2.368164
818      3.272     2.377930
819      3.276     2.373047
820      3.280     2.558058
821      3.284     2.387695
822      3.288     2.412109
823      3.292     2.436523
824      3.296     2.421875
825      3.300     2.421875
826      3.304     2.368164
827      3.308     2.329102
828      3.312     2.304687
829      3.316     2.299805
830      3.320     2.348633
831      3.324     2.392578
832      3.328     2.436523
833      3.332     2.441406
834      3.336     2.436523
835      3.340     2.397461
836      3.344     2.329102
837      3.348     2.309570
838      3.352     2.299805
839      3.356     2.314453
840      3.360     2.329102
841      3.364     2.353516
842      3.368     2.373047
843      3.372     2.382812
844      3.376     2.402344
845      3.380     2.416992
846      3.384     2.416992
847      3.388     2.412109
848      3.392     2.373047
849      3.396     2.358398
850      3.400     2.377930
851      3.404     2.353516
852      3.408     2.329102
853      3.412     2.333984
854      3.416     2.348633
855      3.420     2.358398
856      3.424     2.625226
857      3.428     2.373047
858      3.432     2.353516
859      3.436     2.397461
860      3.440     2.397461
861      3.444     2.377930
862      3.448     2.353516
863      3.452     2.338867
864      3.456     2.324219
865      3.460     2.324219
866      3.464     2.304687
867      3.468     2.136098
868      3.472     2.348633
869      3.476     2.353516
870      3.480     2.377930
871      3.484     2.377930
872      3.488     2.353516
873      3.492     2.387695
874      3.496     2.397461
875      3.500     2.421875
876      3.504     2.382812
877      3.508     2.368164
878      3.512     2.602071
879      3.516     2.309570
880      3.520     2.329102
881      3.524     2.353516
882      3.528     2.377930
883      3.532     2.407227
884      3.536     2.431641
885      3.540     2.426758
886      3.544     2.416992
887      3.548     2.402344
888      3.552     2.382812
889      3.556     2.363281
890      3.560     2.407227
891      3.564     2.426758
892      3.568     2.431641
893      3.572     2.132533
894      3.576     2.456055
895      3.580     2.441406
896      3.584     2.421875
897      3.588     2.343750
898      3.592     2.324219
899      3.596     2.333984
900      3.600     2.353516
901      3.604     2.363281
902      3.608     2.382812
903      3.612     2.343750
904      3.616     2.363281
905      3.620     2.377930
906      3.624     2.338867
907      3.628     2.294922
908      3.632     2.285156
909      3.636     2.314453
910      3.640     2.314453
911      3.644     2.353516
912      3.648     2.373047
913      3.652     2.377930
914      3.656     2.556754
915      3.660     2.382812
916      3.664     2.343750
917      3.668     2.299805
918      3.672     2.319336
919      3.676     2.309570
920      3.680     2.314453
921      3.684     2.348633
922      3.688     2.392578
923      3.692     2.426758
924      3.696     2.431641
925      3.700     2.387695
926      3.704     2.363281
927      3.708     2.363281
928      3.712     2.353516
929      3.716     2.338867
930      3.720     2.329102
931      3.724     2.353516
932      3.728     2.363281
933      3.732     2.407227
934      3.736     2.416992
935      3.740     2.377930
936      3.744     2.382812
937      3.748     2.377930
938      3.752     2.353516
939      3.756     2.299805
940      3.760     2.260742
941      3.764     2.285156
942      3.768     2.304687
943      3.772     2.304687
944      3.776     2.270508
945      3.780     2.304687
946      3.784     2.358398
947      3.788     2.382812
948      3.792     2.358398
949      3.796     2.338867
950      3.800     2.333984
951      3.804     2.363281
952      3.808     2.348633
953      3.812     2.329102
954      3.816     2.319336
955      3.820     2.358398
956      3.824     2.392578
957      3.828     2.377930
958      3.832     2.368164
959      3.836     2.353516
960      3.840     2.353516
961      3.844     2.343750
962      3.848     2.324219
963      3.852     2.324219
964      3.856     2.353516
965      3.860     2.338867
966      3.864     2.368164
967      3.868     2.358398
968      3.872     2.333984
969      3.876     2.319336
970      3.880     2.333984
971      3.884     2.358398
972      3.888     2.329102
973      3.892     2.314453
974      3.896     2.314453
975      3.900     2.294922
976      3.904     2.324219
977      3.908     2.333984
978      3.912     2.329102
979      3.916     2.333984
980      3.920     2.343750
981      3.924     2.363281
982      3.928     2.338867
983      3.932     2.329102
984      3.936     2.333984
985      3.940     2.348633
986      3.944     2.348633
987      3.948     2.348633
988      3.952     2.333984
989      3.956     2.368164
990      3.960     2.373047
991      3.964     2.377930
992      3.968     2.368164
993      3.972     2.382812
994      3.976     2.373047
995      3.980     2.348633
996      3.984     2.324219
997      3.988     2.324219
998      3.992     2.343750
999      3.996     2.363281
1000     4.000     2.407227
1001     4.004     2.426758
1002     4.008     2.416992
1003     4.012     2.407227
1004     4.016     2.402344
1005     4.020     2.358398
1006     4.024     2.329102
1007     4.028     2.343750
1008     4.032     2.333984
1009     4.036     2.333984
1010     4.040     2.338867
1011     4.044     2.348633
1012     4.048     2.338867
1013     4.052     2.392578
1014     4.056     2.421875
1015     4.060     2.387695
1016     4.064     2.338867
1017     4.068     2.324219
1018     4.072     2.314453
1019     4.076     2.299805
1020     4.080     2.304687
1021     4.084     2.343750
1022     4.088     2.412109
1023     4.092     2.465820
1024     4.096     2.451172
1025     4.100     2.397461
1026     4.104     2.348633
1027     4.108     2.319336
1028     4.112     2.275391
1029     4.116     2.221680
1030     4.120     2.236328
