,Time,Voltage
422,2.11,0.610352
423,2.115,0.625
424,2.12,0.605469
425,2.125,0.605469
426,2.13,0.551758
427,2.135,0.527344
428,2.14,0.440995
429,2.145,0.527344
430,2.15,0.780354
431,2.155,0.629883
432,2.16,0.605469
433,2.165,0.571289
434,2.17,0.59082
435,2.175,0.771612
436,2.18,0.532227
437,2.185,0.576172
438,2.19,0.629883
439,2.195,0.585937
440,2.2,0.566406
441,2.205,0.581055
442,2.21,0.634766
443,2.215,0.615234
444,2.22,0.556641
445,2.225,0.581055
446,2.23,0.541992
447,2.235,0.551758
448,2.24,0.600586
449,2.245,0.634766
450,2.25,0.668945
451,2.255,0.644531
452,2.26,0.576172
453,2.265,0.600586
454,2.27,0.556641
455,2.275,0.566406
456,2.28,0.620117
457,2.285,0.625
458,2.29,0.610352
459,2.295,0.585937
460,2.3,0.585937
461,2.305,0.605469
462,2.31,0.39496
463,2.315,0.605469
464,2.32,0.610352
465,2.325,0.625
466,2.33,0.59082
467,2.335,0.59082
468,2.34,0.59082
469,2.345,0.595703
470,2.35,0.59082
471,2.355,0.600586
472,2.36,0.615234
473,2.365,0.605469
474,2.37,0.561523
475,2.375,0.571289
476,2.38,0.600586
477,2.385,0.634766
478,2.39,0.629883
479,2.395,0.654297
480,2.4,0.644531
481,2.405,0.620117
482,2.41,0.576172
483,2.415,0.576172
484,2.42,0.571289
485,2.425,0.566406
486,2.43,0.541992
487,2.435,0.620117
488,2.44,0.654297
489,2.445,0.615234
490,2.45,0.600586
491,2.455,0.59082
492,2.46,0.566406
493,2.465,0.59082
494,2.47,0.620117
495,2.475,0.678711
496,2.48,0.634766
497,2.485,0.561523
498,2.49,0.537109
499,2.495,0.571289
500,2.5,0.585937
501,2.505,0.571289
502,2.51,0.610352
503,2.515,0.668945
504,2.52,0.605469
505,2.525,0.59082
506,2.53,0.605469
507,2.535,0.581055
508,2.54,0.561523
509,2.545,0.595703
510,2.55,0.605469
511,2.555,0.625
512,2.56,0.600586
513,2.565,0.576172
514,2.57,0.59082
515,2.575,0.620117
516,2.58,0.556641
517,2.585,0.600586
518,2.59,0.668945
519,2.595,0.625
520,2.6,0.59082
521,2.605,0.620117
522,2.61,0.605469
523,2.615,0.581055
524,2.62,0.59082
525,2.625,0.629883
526,2.63,0.605469
527,2.635,0.566406
528,2.64,0.581055
529,2.645,0.615234
530,2.65,0.600586
531,2.655,0.566406
532,2.66,0.581055
533,2.665,0.620117
534,2.67,0.59082
535,2.675,0.561523
536,2.68,0.605469
537,2.685,0.610352
538,2.69,0.556641
539,2.695,0.556641
540,2.7,0.59082
541,2.705,0.576172
542,2.71,0.585937
543,2.715,0.625
544,2.72,0.649414
545,2.725,0.620117
546,2.73,0.610352
547,2.735,0.581055
548,2.74,0.566406
549,2.745,0.556641
550,2.75,0.581055
551,2.755,0.615234
552,2.76,0.620117
553,2.765,0.610352
554,2.77,0.620117
555,2.775,0.600586
556,2.78,0.556641
557,2.785,0.532227
558,2.79,0.556641
559,2.795,0.546875
560,2.8,0.566406
561,2.805,0.605469
562,2.81,0.610352
563,2.815,0.625
564,2.82,0.639648
565,2.825,0.419047
566,2.83,0.581055
567,2.835,0.571289
568,2.84,0.600586
569,2.845,0.585937
570,2.85,0.581055
571,2.855,0.571289
572,2.86,0.556641
573,2.865,0.546875
574,2.87,0.585937
575,2.875,0.629883
576,2.88,0.649414
577,2.885,0.59082
578,2.89,0.595703
579,2.895,0.600586
580,2.9,0.561523
581,2.905,0.556641
582,2.91,0.585937
583,2.915,0.585937
584,2.92,0.581055
585,2.925,0.605469
586,2.93,0.595703
587,2.935,0.561523
588,2.94,0.541992
